datetime,open,high,low,close,volume,ATR,trade_type,signals
2018-06-15 05:30:00,6638.67,6666.66,6362.31,6388.9,30018.329905,378.5119985603349,HOLD,0
2018-06-16 05:30:00,6380.01,6560.0,6320.86,6483.98,22277.241147,368.55685580602534,HOLD,0
2018-06-17 05:30:00,6482.5,6589.03,6422.0,6449.61,19847.247688,354.16208039130925,HOLD,0
2018-06-18 05:30:00,6444.06,6794.38,6380.0,6712.46,31821.434995,358.4633603633586,HOLD,0
2018-06-19 05:30:00,6711.39,6841.74,6653.0,6741.21,24311.421143,346.34026319454733,HOLD,0
2018-06-20 05:30:00,6740.0,6817.23,6551.81,6761.51,26359.752452,340.5602443949368,CLOSE,1
2018-06-21 05:30:00,6763.21,6795.0,6672.57,6718.84,25428.854048,324.9795126524413,HOLD,0
2018-06-22 05:30:00,6717.69,6733.97,5918.94,6045.0,52157.370833,359.9831188915527,SHORT,-1
2018-06-23 05:30:00,6045.92,6260.0,6008.48,6149.98,26622.788589,352.23575325644185,HOLD,0
2018-06-24 05:30:00,6149.98,6259.8,5750.0,6136.97,47445.998955,363.49034230955317,HOLD,0
2018-06-25 05:30:00,6137.95,6350.0,6061.97,6252.0,39164.515306,358.1003178588708,HOLD,0
2018-06-26 05:30:00,6252.0,6272.54,6035.0,6070.78,19377.240484,349.4888665832372,HOLD,0
2018-06-27 05:30:00,6065.89,6190.43,5971.0,6133.73,19225.671098,340.19894754157747,HOLD,0
2018-06-28 05:30:00,6134.73,6173.01,5827.0,5853.98,30585.266026,340.6140227171791,HOLD,0
2018-06-29 05:30:00,5851.01,6300.0,5780.0,6197.92,33911.287278,353.42730680880925,HOLD,0
2018-06-30 05:30:00,6197.92,6528.99,6186.03,6390.07,37919.61284,352.6796420367515,HOLD,0
2018-07-01 05:30:00,6391.08,6441.06,6251.0,6356.81,27562.965974,341.06395331984066,HOLD,0
2018-07-02 05:30:00,6360.82,6685.0,6271.62,6615.29,36230.452264,346.2293852255663,CLOSE,1
2018-07-03 05:30:00,6615.29,6679.35,6463.01,6513.86,38657.781691,336.95157199516876,HOLD,0
2018-07-04 05:30:00,6511.01,6784.92,6441.11,6586.98,23571.892777,337.44145970979963,HOLD,0
2018-07-05 05:30:00,6585.53,6712.0,6453.33,6529.2,35071.972898,331.8149268733854,HOLD,0
2018-07-06 05:30:00,6529.2,6648.54,6425.0,6609.78,29397.094748,324.0810035252864,HOLD,0
2018-07-07 05:30:00,6609.79,6818.16,6508.88,6756.98,23973.876886,323.0237889877659,HOLD,0
