datetime,open,high,low,close,volume,ATR,EMA200,ADX,DI+,DI-,donchian_high,donchian_low,signals,decision_signal,decision_target,decision_reason,trade_type,forced_liquidation
2018-04-10 05:30:00,6781.5500000000,6890.0000000000,6656.0000000000,6843.9000000000,22326.7280950000,565.1108963615,10955.0431132319,36.9053260571,12.2378640345,28.6595010419,9888.8800000000,6430.0000000000,0,0,,HOLD,HOLD,False
2018-04-11 05:30:00,6839.5600000000,6990.0000000000,6787.0000000000,6953.7900000000,23997.8711770000,539.2458323356,10915.2296494186,36.8148577391,13.2333964125,27.8888640890,9888.8800000000,6430.0000000000,0,0,,HOLD,HOLD,False
2018-04-12 05:30:00,6953.7800000000,8012.2300000000,6743.2000000000,7923.0000000000,64861.5959870000,591.3732728831,10885.4562200712,34.1946397271,23.5519243527,23.6140917899,9474.0000000000,6430.0000000000,0,0,,HOLD,HOLD,False
2018-04-13 05:30:00,7922.9900000000,8233.3900000000,7732.0000000000,7877.4100000000,55044.5231480000,584.9458962486,10855.5254119113,32.1539045447,24.8105634258,22.1683085671,9333.7800000000,6430.0000000000,0,0,,HOLD,HOLD,False
2018-04-14 05:30:00,7877.4800000000,8186.0000000000,7810.0000000000,7999.0100000000,31621.2863570000,570.0211893737,10827.1023729868,30.2589361609,23.6415878531,21.1238255879,9177.0100000000,6430.0000000000,0,0,,HOLD,HOLD,False
2018-04-15 05:30:00,8004.0000000000,8429.5400000000,7999.0200000000,8355.0000000000,27946.7204440000,560.0575329899,10802.5043394247,28.9603822290,25.4495127213,19.9639395692,9177.0100000000,6430.0000000000,0,0,,HOLD,HOLD,False
2018-04-16 05:30:00,8355.0700000000,8419.0000000000,7867.0000000000,8064.9200000000,36664.0697150000,559.4819949191,10775.2646942563,27.4472041402,23.6560002593,20.2425014963,9177.0100000000,6430.0000000000,0,0,,HOLD,HOLD,False
2018-04-17 05:30:00,8064.9200000000,8173.7000000000,7825.4000000000,7885.0200000000,32152.6035670000,544.3975667106,10746.5060405821,25.9430986583,22.5749383146,19.8632535444,9177.0100000000,6430.0000000000,0,0,,HOLD,HOLD,False
2018-04-18 05:30:00,7890.9600000000,8236.4300000000,7868.0000000000,8173.0000000000,26969.0445700000,531.8284548027,10720.8990153027,24.6832264292,22.3003754894,18.8803616205,9177.0100000000,6430.0000000000,0,0,,HOLD,HOLD,False
2018-04-19 05:30:00,8173.9900000000,8296.0000000000,8080.0000000000,8278.0000000000,27113.8474640000,509.2692794597,10696.5915624141,23.6475732954,22.4602851230,18.3083714778,9177.0100000000,6430.0000000000,0,0,,HOLD,HOLD,False
2018-04-20 05:30:00,8273.8400000000,8930.0000000000,8177.0900000000,8856.9800000000,39795.3374850000,526.6721880697,10678.2869697533,23.9061981648,28.7652949810,16.4388762529,9177.0100000000,6430.0000000000,0,0,,HOLD,HOLD,False
