datetime,equity,cash,position,close,daily_return,drawdown
2022-06-08 05:30:00,1182.3305531947,1182.3305531947,0,30204.7700000000,0.0000000000,-0.0662254345
2022-06-09 05:30:00,1182.3305531947,1182.3305531947,0,30109.9300000000,0.0000000000,-0.0662254345
2022-06-10 05:30:00,1182.3305531947,1182.3305531947,0,29091.8800000000,0.0000000000,-0.0662254345
2022-06-11 05:30:00,1182.3305531947,1182.3305531947,0,28424.7000000000,0.0000000000,-0.0662254345
2022-06-12 05:30:00,1182.3305531947,1182.3305531947,0,26574.5300000000,0.0000000000,-0.0662254345
2022-06-13 05:30:00,1362.1279000324,2361.1194272485,-1,22487.4100000000,0.1520702872,0.0000000000
2022-06-14 05:30:00,1377.7208930028,2361.1194272485,-1,22136.4100000000,0.0114475248,0.0000000000
2022-06-15 05:30:00,1357.8493782290,2361.1194272485,-1,22583.7200000000,-0.0144234691,-0.0144234691
2022-06-16 05:30:00,1454.8018106751,2361.1194272485,-1,20401.3100000000,0.0714014632,0.0000000000
2022-06-17 05:30:00,1451.8031581808,2361.1194272485,-1,20468.8100000000,-0.0020612103,-0.0020612103
2022-06-18 05:30:00,1518.3519198034,2361.1194272485,-1,18970.7900000000,0.0458386946,0.0000000000
2022-06-19 05:30:00,1447.1301469826,2361.1194272485,-1,20574.0000000000,-0.0469072893,-0.0469072893
2022-06-20 05:30:00,1447.1350336755,2361.1194272485,-1,20573.8900000000,0.0000033768,-0.0469040709
2022-06-21 05:30:00,1440.4877985241,2361.1194272485,-1,20723.5200000000,-0.0045933759,-0.0512819988
2022-06-22 05:30:00,1473.1633373262,2361.1194272485,-1,19987.9900000000,0.0226836623,-0.0297616000
2022-06-23 05:30:00,1423.3128497711,2361.1194272485,-1,21110.1300000000,-0.0338390770,-0.0625935719
2022-06-24 05:30:00,1417.6460629241,2361.1194272485,-1,21237.6900000000,-0.0039814064,-0.0663257678
2022-06-25 05:30:00,1406.3844568899,2361.1194272485,-1,21491.1900000000,-0.0079438771,-0.0737427611
2022-06-26 05:30:00,1426.5140779006,2361.1194272485,-1,21038.0700000000,0.0143130286,-0.0604852147
2022-06-27 05:30:00,1439.6419563983,2361.1194272485,-1,20742.5600000000,0.0092027683,-0.0518390779
2022-06-28 05:30:00,1460.1336369324,2361.1194272485,-1,20281.2900000000,0.0142338728,-0.0383430759
2022-06-29 05:30:00,1467.1651438479,2361.1194272485,-1,20123.0100000000,0.0048156598,-0.0337120632
2022-06-30 05:30:00,1475.1970900845,2361.1194272485,-1,19942.2100000000,0.0054744664,-0.0284221524
2022-07-01 05:30:00,1504.6243108068,2361.1194272485,-1,19279.8000000000,0.0199479927,-0.0090411247
2022-07-02 05:30:00,1505.8233275598,2361.1194272485,-1,19252.8100000000,0.0007968878,-0.0082514416
2022-07-03 05:30:00,1503.0236967421,2361.1194272485,-1,19315.8300000000,-0.0018592027,-0.0100953032
2022-07-04 05:30:00,1462.1140803131,2361.1194272485,-1,20236.7100000000,-0.0272182112,-0.0370387384
2022-07-05 05:30:00,1464.8186427405,2361.1194272485,-1,20175.8300000000,0.0018497616,-0.0352574896
2022-07-06 05:30:00,1447.5517353111,2361.1194272485,-1,20564.5100000000,-0.0117877442,-0.0466296275
2022-07-07 05:30:00,1400.4409055238,2361.1194272485,-1,21624.9800000000,-0.0325451786,-0.0776572366
2022-07-08 05:30:00,1398.9994428300,1398.9994428300,0,21594.7500000000,-0.0010292921,-0.0786065967
2022-07-09 05:30:00,1398.9994428300,1398.9994428300,0,21591.8300000000,0.0000000000,-0.0786065967
2022-07-10 05:30:00,1398.9994428300,1398.9994428300,0,20862.4700000000,0.0000000000,-0.0786065967
2022-07-11 05:30:00,1398.9994428300,1398.9994428300,0,19963.6100000000,0.0000000000,-0.0786065967
2022-07-12 05:30:00,1398.9994428300,1398.9994428300,0,19328.7500000000,0.0000000000,-0.0786065967
2022-07-13 05:30:00,1398.9994428300,1398.9994428300,0,20234.8700000000,0.0000000000,-0.0786065967
2022-07-14 05:30:00,1398.9994428300,1398.9994428300,0,20588.8400000000,0.0000000000,-0.0786065967
2022-07-15 05:30:00,1398.9994428300,1398.9994428300,0,20830.0400000000,0.0000000000,-0.0786065967
